date,ticker,close
2024-04-14,ECHO,67.15
2024-04-14,FXTR,181.08
2024-04-15,ALFA,158.85
2024-04-15,BRVO,113.93
2024-04-15,CHRL,96.75
2024-04-15,DLTA,158.49
2024-04-15,ECHO,68.27
2024-04-15,FXTR,183.3
2024-04-16,ALFA,160.86
2024-04-16,BRVO,111.46
2024-04-16,CHRL,97.55
2024-04-16,DLTA,165.08
2024-04-16,ECHO,67.6
2024-04-16,FXTR,181.98
2024-04-17,ALFA,163.11
2024-04-17,BRVO,114.62
2024-04-17,CHRL,97.47
2024-04-17,DLTA,161.51
2024-04-17,ECHO,69.27
2024-04-17,FXTR,182.36
2024-04-18,ALFA,161.19
2024-04-18,BRVO,112.69
2024-04-18,CHRL,98.89
2024-04-18,DLTA,159.66
2024-04-18,ECHO,69.9
2024-04-18,FXTR,178.88
2024-04-19,ALFA,161.73
2024-04-19,BRVO,115.55
2024-04-19,CHRL,98.17
2024-04-19,DLTA,161.17
2024-04-19,ECHO,69.64
2024-04-19,FXTR,178.11
2024-04-20,ALFA,164.42
2024-04-20,BRVO,110.78
2024-04-20,CHRL,98.55
2024-04-20,DLTA,168.84
2024-04-20,ECHO,71.36
2024-04-20,FXTR,179.39
2024-04-21,ALFA,160.59
2024-04-21,BRVO,115.97
2024-04-21,CHRL,98.57
2024-04-21,DLTA,174.17
2024-04-21,ECHO,70.55
2024-04-21,FXTR,178.4
2024-04-22,ALFA,165.2
2024-04-22,BRVO,121.12
2024-04-22,CHRL,97.79
2024-04-22,DLTA,174.07
2024-04-22,ECHO,70.35
2024-04-22,FXTR,177.72
2024-04-23,ALFA,165.31
2024-04-23,BRVO,122.45
2024-04-23,CHRL,98.18
2024-04-23,DLTA,171.05
2024-04-23,ECHO,67.88
2024-04-23,FXTR,176.83
2024-04-24,ALFA,163.85
2024-04-24,BRVO,121.89
2024-04-24,CHRL,99.95
2024-04-24,DLTA,162.5
2024-04-24,ECHO,66.52
2024-04-24,FXTR,176.69
2024-04-25,ALFA,160.66
2024-04-25,BRVO,118.25
2024-04-25,CHRL,99.99
2024-04-25,DLTA,162.53
2024-04-25,ECHO,68.52
2024-04-25,FXTR,180.34
2024-04-26,ALFA,165.21
2024-04-26,BRVO,116.02
2024-04-26,CHRL,98.41
2024-04-26,DLTA,156.06
2024-04-26,ECHO,68.67
2024-04-26,FXTR,179.94
2024-04-27,ALFA,165.83
2024-04-27,BRVO,114.35
2024-04-27,CHRL,98.65
2024-04-27,DLTA,150.2
2024-04-27,ECHO,68.34
2024-04-27,FXTR,176.93
2024-04-28,ALFA,159.36
2024-04-28,BRVO,115.96
2024-04-28,CHRL,98.07
2024-04-28,DLTA,144.42
2024-04-28,ECHO,69.7
2024-04-28,FXTR,177.16
2024-04-29,ALFA,159.85
2024-04-29,BRVO,114.7
2024-04-29,CHRL,99.07
2024-04-29,DLTA,149.68
2024-04-29,ECHO,71.25
2024-04-29,FXTR,175.82
2024-04-30,ALFA,161.23
2024-04-30,BRVO,113.45
2024-04-30,CHRL,99.43
2024-04-30,DLTA,151.17
2024-04-30,ECHO,68.92
2024-04-30,FXTR,174.64
2024-05-01,ALFA,158.88
2024-05-01,BRVO,112.53
2024-05-01,CHRL,99.96
2024-05-01,DLTA,150.48
2024-05-01,ECHO,69.38
2024-05-01,FXTR,177.46
2024-05-02,ALFA,156.8
2024-05-02,BRVO,116.26
2024-05-02,CHRL,99.51
2024-05-02,DLTA,150.93
2024-05-02,ECHO,71.57
2024-05-02,FXTR,178.86
2024-05-03,ALFA,155.1
2024-05-03,BRVO,113.84
2024-05-03,CHRL,99.52
2024-05-03,DLTA,150.49
2024-05-03,ECHO,73.42
2024-05-03,FXTR,177.83
2024-05-04,ALFA,156.31
2024-05-04,BRVO,113.71
2024-05-04,CHRL,99.25
2024-05-04,DLTA,149.9
2024-05-04,ECHO,72.89
2024-05-04,FXTR,176.4
2024-05-05,ALFA,155.57
2024-05-05,BRVO,117.95
2024-05-05,CHRL,99.11
2024-05-05,DLTA,155.72
2024-05-05,ECHO,75.45
2024-05-05,FXTR,176.5
2024-05-06,ALFA,154.59
2024-05-06,BRVO,121.19
2024-05-06,CHRL,99.43
2024-05-06,DLTA,152.18
2024-05-06,ECHO,75.66
2024-05-06,FXTR,175.88
2024-05-07,ALFA,154.72
2024-05-07,BRVO,120.28
2024-05-07,CHRL,99.79
2024-05-07,DLTA,145.09
2024-05-07,ECHO,74.93
2024-05-07,FXTR,174.66
2024-05-08,ALFA,156.64
2024-05-08,BRVO,124.0
2024-05-08,CHRL,99.71
2024-05-08,DLTA,142.95
2024-05-08,ECHO,75.84
2024-05-08,FXTR,175.09
2024-05-09,ALFA,161.61
2024-05-09,BRVO,123.18
2024-05-09,CHRL,100.06
2024-05-09,DLTA,140.83
2024-05-09,ECHO,76.33
2024-05-09,FXTR,177.25
2024-05-10,ALFA,163.92
2024-05-10,BRVO,124.59
2024-05-10,CHRL,100.37
2024-05-10,DLTA,141.53
2024-05-10,ECHO,78.03
2024-05-10,FXTR,176.69
2024-05-11,ALFA,164.05
2024-05-11,BRVO,123.17
2024-05-11,CHRL,101.41
2024-05-11,DLTA,140.05
2024-05-11,ECHO,80.17
2024-05-11,FXTR,177.48
2024-05-12,ALFA,157.22
2024-05-12,BRVO,123.77
2024-05-12,CHRL,100.8
2024-05-12,DLTA,145.68
2024-05-12,ECHO,79.33
2024-05-12,FXTR,176.67
2024-05-13,ALFA,156.75
2024-05-13,BRVO,122.45
2024-05-13,CHRL,99.45
2024-05-13,DLTA,144.29
2024-05-13,ECHO,81.41
2024-05-13,FXTR,177.58
2024-05-14,ALFA,156.01
2024-05-14,BRVO,123.24
2024-05-14,CHRL,97.33
2024-05-14,DLTA,150.55
2024-05-14,ECHO,83.44
2024-05-14,FXTR,178.12
2024-05-15,ALFA,152.53
2024-05-15,BRVO,124.99
2024-05-15,CHRL,98.91
2024-05-15,DLTA,150.29
2024-05-15,ECHO,82.29
2024-05-15,FXTR,176.65
2024-05-16,ALFA,154.0
2024-05-16,BRVO,124.8
2024-05-16,CHRL,100.66
2024-05-16,DLTA,149.66
2024-05-16,ECHO,82.81
2024-05-16,FXTR,173.87
2024-05-17,ALFA,155.96
2024-05-17,BRVO,125.42
2024-05-17,CHRL,101.09
2024-05-17,DLTA,155.05
2024-05-17,ECHO,83.49
2024-05-17,FXTR,174.76
2024-05-18,ALFA,157.54
2024-05-18,BRVO,122.52
2024-05-18,CHRL,100.78
2024-05-18,DLTA,158.37
2024-05-18,ECHO,84.26
2024-05-18,FXTR,177.71
2024-05-19,ALFA,159.61
2024-05-19,BRVO,120.85
2024-05-19,CHRL,100.57
2024-05-19,DLTA,157.94
2024-05-19,ECHO,85.93
2024-05-19,FXTR,176.83
2024-05-20,ALFA,160.66
2024-05-20,BRVO,122.38
2024-05-20,CHRL,101.42
2024-05-20,DLTA,166.42
2024-05-20,ECHO,85.9
2024-05-20,FXTR,175.82
2024-05-21,ALFA,160.95
2024-05-21,BRVO,122.66
2024-05-21,CHRL,101.73
2024-05-21,DLTA,170.46
2024-05-21,ECHO,85.34
2024-05-21,FXTR,178.03
2024-05-22,ALFA,160.55
2024-05-22,BRVO,119.3
2024-05-22,CHRL,99.59
2024-05-22,DLTA,168.89
2024-05-22,ECHO,85.37
2024-05-22,FXTR,176.29
2024-05-23,ALFA,161.32
2024-05-23,BRVO,121.54
2024-05-23,CHRL,100.62
2024-05-23,DLTA,162.86
2024-05-23,ECHO,87.23
2024-05-23,FXTR,175.52
2024-05-24,ALFA,160.73
2024-05-24,BRVO,120.76
2024-05-24,CHRL,101.26
2024-05-24,DLTA,161.93
2024-05-24,ECHO,86.32
2024-05-24,FXTR,175.0
2024-05-25,ALFA,166.46
2024-05-25,BRVO,115.67
2024-05-25,CHRL,101.46
2024-05-25,DLTA,165.65
2024-05-25,ECHO,85.75
2024-05-25,FXTR,172.76
2024-05-26,ALFA,161.71
2024-05-26,BRVO,114.77
2024-05-26,CHRL,101.42
2024-05-26,DLTA,165.41
2024-05-26,ECHO,84.77
2024-05-26,FXTR,175.48
2024-05-27,ALFA,165.28
2024-05-27,BRVO,113.62
2024-05-27,CHRL,102.79
2024-05-27,DLTA,161.37
2024-05-27,ECHO,84.19
2024-05-27,FXTR,175.02
2024-05-28,ALFA,162.16
2024-05-28,BRVO,116.53
2024-05-28,CHRL,103.43
2024-05-28,DLTA,161.6
2024-05-28,ECHO,85.2
2024-05-28,FXTR,177.33
2024-05-29,ALFA,159.88
2024-05-29,BRVO,118.62
2024-05-29,CHRL,104.0
2024-05-29,DLTA,156.92
2024-05-29,ECHO,84.3
2024-05-29,FXTR,176.16
2024-05-30,ALFA,154.49
2024-05-30,BRVO,120.37
2024-05-30,CHRL,104.97
2024-05-30,DLTA,159.8
2024-05-30,ECHO,84.08
2024-05-30,FXTR,176.54
